GMT Time,Ancillary Price - DR-L - GB (£/MW/h),Month,Day,EFA Block,Volume Requirements Forecast - DR-L - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),"Day Ahead Price (EPEX, local) - GB (£/MWh)","Day Ahead Price (N2EX, local) - GB (£/MWh)",National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
2023-01-18 15:00:00,,1,3,4,80,0.0,132.065,132.8375,37950.5,158.1625
2023-01-18 19:00:00,17.24,1,3,5,80,25.0,154.2875,155.225,42001.625,173.89375
2023-01-18 23:00:00,0.78,1,3,6,80,17.0,133.675,131.9075,36559.875,145.09375
2023-01-19 03:00:00,0.0,1,4,1,80,17.0,122.45,127.11,26928.0,133.69375
2023-01-19 07:00:00,20.54,1,4,2,80,38.0,134.75,140.89000000000001,27597.875,132.0375
2023-01-19 11:00:00,17.99,1,4,3,80,24.0,177.025,177.0925,39856.375,165.4875
2023-01-19 15:00:00,,1,4,4,80,0.0,147.9,150.89,38675.5,144.825
2023-01-19 19:00:00,19.02,1,4,5,80,21.0,176.0125,182.65,42173.125,168.975
2023-01-19 23:00:00,8.0,1,4,6,80,31.0,144.775,149.01749999999998,36684.125,144.9625
2023-01-20 03:00:00,15.0,1,5,1,80,11.0,135.05,131.0725,27026.25,137.775
2023-01-20 07:00:00,24.42,1,5,2,80,41.0,143.45,143.135,27038.875,144.25
2023-01-20 11:00:00,19.87,1,5,3,80,26.0,187.95,189.135,38711.875,183.675
2023-01-20 15:00:00,,1,5,4,80,0.0,161.425,161.725,38081.0,152.2325
2023-01-20 19:00:00,22.0,1,5,5,80,25.0,186.525,191.215,41284.75,190.0
2023-01-20 23:00:00,14.0,1,5,6,80,36.0,159.99,158.875,35882.5,157.0125
2023-01-21 03:00:00,14.0,1,6,1,80,44.0,135.1,135.63,26986.25,139.5375
2023-01-21 07:00:00,22.0,1,6,2,80,37.0,132.5,130.47,25160.25,140.4625
2023-01-21 11:00:00,23.89,1,6,3,80,35.0,154.025,153.9925,32854.625,191.6875
2023-01-21 15:00:00,0.24,1,6,4,80,0.0,133.625,134.265,33218.0,166.075
2023-01-21 19:00:00,25.92,1,6,5,80,32.0,163.6125,170.5925,36806.75,193.6125
2023-01-21 23:00:00,10.5,1,6,6,80,44.0,141.2375,143.395,33890.625,162.4125
2023-01-22 03:00:00,10.0,1,7,1,80,31.0,142.25,145.36,26317.5,142.85625
2023-01-22 07:00:00,17.0,1,7,2,80,46.0,129.75,127.63999999999999,24128.25,127.1375
2023-01-22 11:00:00,22.5,1,7,3,80,54.0,144.5,148.0,30619.125,153.4575
2023-01-22 15:00:00,35.0,1,7,4,80,20.0,169.425,174.875,34852.125,139.11875
2023-01-22 19:00:00,28.67,1,7,5,80,50.0,200.0,206.33749999999998,39079.125,172.35
2023-01-22 23:00:00,24.08,1,7,6,80,53.0,168.025,172.0475,34161.375,154.2375
2023-01-23 03:00:00,26.75,1,1,1,80,52.0,138.4875,140.4325,25993.25,147.63125
2023-01-23 07:00:00,33.3,1,1,2,80,60.0,155.6125,158.155,26110.875,132.25
2023-01-23 11:00:00,30.01,1,1,3,80,63.0,213.05,223.515,38089.625,149.525
2023-01-23 15:00:00,,1,1,4,80,52.0,193.275,202.0025,38921.5,163.82
2023-01-23 19:00:00,33.78,1,1,5,80,68.0,227.14999999999998,229.5075,41983.0,204.90375
2023-01-23 23:00:00,24.58,1,1,6,80,60.0,171.9375,172.415,37338.125,171.75
2023-01-24 03:00:00,27.18,1,2,1,80,57.0,141.725,137.05,27590.5,170.6875
2023-01-24 07:00:00,33.04,1,2,2,80,60.0,152.275,150.9475,27467.0,154.375
2023-01-24 11:00:00,32.29,1,2,3,80,61.0,215.175,215.1375,39250.125,234.6625
2023-01-24 15:00:00,0.0,1,2,4,80,0.0,189.6,190.1175,39334.375,204.8
2023-01-24 19:00:00,34.1,1,2,5,80,48.0,211.47500000000002,212.8375,42144.125,238.9125
2023-01-24 23:00:00,25.05,1,2,6,80,60.0,165.7225,162.1,36516.125,174.2
2023-01-25 03:00:00,23.25,1,3,1,80,60.0,133.6875,130.6575,27048.625,140.1
2023-01-25 07:00:00,27.4,1,3,2,80,50.0,138.3125,135.75,26952.75,150.49375
2023-01-25 11:00:00,28.66,1,3,3,80,50.0,182.72500000000002,183.23499999999999,38861.625,218.9375
2023-01-25 15:00:00,34.6,1,3,4,80,6.0,165.6625,165.5975,39196.25,193.0125
2023-01-25 19:00:00,29.26,1,3,5,80,50.0,175.75,177.4175,41912.125,211.625
2023-01-25 23:00:00,8.93,1,3,6,80,50.0,146.025,154.4225,35464.375,162.7625
2023-01-26 03:00:00,10.0,1,4,1,80,68.0,122.475,122.38,26155.5,128.81875
2023-01-26 07:00:00,24.11,1,4,2,80,48.0,126.175,129.2025,26339.875,131.18125
2023-01-26 11:00:00,21.92,1,4,3,80,60.0,166.8125,168.49,38011.375,182.9
2023-01-26 15:00:00,0.42,1,4,4,80,40.0,147.625,150.24,37680.625,171.1175
2023-01-26 19:00:00,23.17,1,4,5,80,50.0,168.475,168.1175,41202.25,180.67375
2023-01-26 23:00:00,12.7,1,4,6,80,42.0,144.375,140.995,36257.875,147.9375
